Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Data collections
HG01502	male	SAME124943	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01504	female	SAME124945	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01509	male	SAME124940	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01511	female	SAME124770	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01516	female	SAME124773	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01525	female	SAME125328	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01532	male	SAME125138	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01507	female	SAME124948	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01524	male	SAME125327	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01537	female	SAME125134	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01514	female	SAME124775	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01529	male	SAME125330	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01519	female	SAME124765	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01531	female	SAME125136	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01521	male	SAME125324	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01605	female	SAME123459	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01536	male	SAME125135	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01526	male	SAME125325	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01538	female	SAME125141	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01506	male	SAME124947	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01513	female	SAME124768	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01518	male	SAME124766	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01520	female	SAME125323	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01602	female	SAME123454	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01607	female	SAME123457	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01523	male	SAME125322	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01603	male	SAME123453	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01528	female	SAME125329	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01608	male	SAME123462	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01530	male	SAME125137	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01501	female	SAME124942	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01610	male	SAME123623	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01704	female	SAME123265	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01709	male	SAME123229	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01711	female	SAME123083	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01747	male	SAME125181	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01500	male	SAME124941	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01761	male	SAME124810	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01756	male	SAME124988	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01766	female	SAME1839673	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01763	female	SAME124812	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01773	female	SAME124635	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01768	female	SAME1839665	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01615	male	SAME123628	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01770	female	SAME124638	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01622	female	SAME123846	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01775	male	SAME124633	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01627	male	SAME123841	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01679	female	SAME123293	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01778	male	SAME124630	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01681	female	SAME124655	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01780	male	SAME124428	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01686	male	SAME124658	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01505	male	SAME124946	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01777	male	SAME124631	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01785	male	SAME1839313	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01698	male	SAME1839214	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01512	male	SAME124769	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01784	female	SAME124431	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01782	female	SAME124426	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01517	female	SAME124772	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01787	female	SAME1839306	IBS	Spanish	EUR	European	
HG01776	female	SAME124632	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01783	male	SAME124427	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01629	male	SAME123836	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01614	female	SAME123627	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01672	male	SAME123288	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01631	male	SAME124035	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01619	male	SAME123632	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
HG01677	female	SAME123285	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01667	male	SAME123116	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
